make,fuel-type,body-style,engine-size,horsepower,price
alfa-romero,gas,convertible,130,111,13495
alfa-romero,gas,convertible,130,111,16500
alfa-romero,gas,hatchback,152,154,16500
audi,gas,sedan,109,102,13950
audi,gas,sedan,136,115,17450
audi,gas,sedan,136,110,15250
audi,gas,sedan,136,110,17710
audi,gas,wagon,136,110,18920
audi,gas,sedan,131,140,23875
audi,gas,hatchback,131,160,?
bmw,gas,sedan,108,101,16430
bmw,gas,sedan,108,101,16925
bmw,gas,sedan,164,121,20970
bmw,gas,sedan,164,121,21105
bmw,gas,sedan,164,121,24565
bmw,gas,sedan,209,182,30760
bmw,gas,sedan,209,182,41315
bmw,gas,sedan,209,182,36880
chevrolet,gas,hatchback,61,48,5151
chevrolet,gas,hatchback,90,70,6295
chevrolet,gas,sedan,90,70,6575
dodge,gas,hatchback,90,68,5572
dodge,gas,hatchback,90,68,6377
dodge,gas,hatchback,98,102,7957
dodge,gas,hatchback,90,68,6229
dodge,gas,sedan,90,68,6692
dodge,gas,sedan,90,68,7609
dodge,gas,sedan,98,102,8558
dodge,gas,wagon,122,88,8921
dodge,gas,hatchback,156,145,12964
honda,gas,hatchback,92,58,6479
honda,gas,hatchback,92,76,6855
honda,gas,hatchback,79,60,5399
honda,gas,hatchback,92,76,6529
honda,gas,hatchback,92,76,7129
honda,gas,sedan,92,76,7295
honda,gas,wagon,92,76,7295
honda,gas,hatchback,110,86,7895
honda,gas,hatchback,110,86,9095
honda,gas,sedan,110,86,8845
honda,gas,sedan,110,86,10295
honda,gas,sedan,110,101,12945
honda,gas,sedan,110,100,10345
isuzu,gas,sedan,111,78,6785
isuzu,gas,sedan,90,70,?
isuzu,gas,sedan,90,70,?
isuzu,gas,hatchback,119,90,11048
jaguar,gas,sedan,258,176,32250
jaguar,gas,sedan,258,176,35550
jaguar,gas,sedan,326,262,36000
mazda,gas,hatchback,91,68,5195
mazda,gas,hatchback,91,68,6095
mazda,gas,hatchback,91,68,6795
mazda,gas,sedan,91,68,6695
mazda,gas,sedan,91,68,7395
mazda,gas,hatchback,122,84,8845
mazda,gas,sedan,122,84,8495
mazda,gas,hatchback,122,84,10595
mazda,gas,sedan,122,84,10245
mazda,diesel,sedan,122,64,10795
mazda,gas,hatchback,122,84,11245
mazda,gas,sedan,140,120,18280
mazda,diesel,sedan,134,72,18344
mercedes-benz,diesel,sedan,183,123,25552
mercedes-benz,diesel,wagon,183,123,28248
mercedes-benz,diesel,hardtop,183,123,28176
mercedes-benz,diesel,sedan,183,123,31600
mercedes-benz,gas,sedan,234,155,34184
mercedes-benz,gas,convertible,234,155,35056
mercedes-benz,gas,sedan,308,184,40960
mercedes-benz,gas,hardtop,304,184,45400
mercury,gas,hatchback,140,175,16503
mitsubishi,gas,hatchback,92,68,5389
mitsubishi,gas,hatchback,92,68,6189
mitsubishi,gas,hatchback,92,68,6669
mitsubishi,gas,hatchback,98,102,7689
mitsubishi,gas,hatchback,110,116,9959
mitsubishi,gas,hatchback,122,88,8499
mitsubishi,gas,hatchback,156,145,12629
mitsubishi,gas,hatchback,156,145,14869
mitsubishi,gas,hatchback,156,145,14489
mitsubishi,gas,sedan,122,88,6989
mitsubishi,gas,sedan,122,88,8189
mitsubishi,gas,sedan,110,116,9279
mitsubishi,gas,sedan,110,116,9279
nissan,gas,sedan,97,69,5499
nissan,diesel,sedan,103,55,7099
nissan,gas,sedan,97,69,6649
nissan,gas,sedan,97,69,6849
nissan,gas,wagon,97,69,7349
nissan,gas,sedan,97,69,7299
nissan,gas,hatchback,97,69,7799
nissan,gas,sedan,97,69,7499
nissan,gas,wagon,97,69,7999
nissan,gas,hardtop,97,69,8249
nissan,gas,hatchback,120,97,8949
nissan,gas,sedan,120,97,9549
nissan,gas,sedan,181,152,13499
nissan,gas,wagon,181,152,14399
nissan,gas,sedan,181,152,13499
nissan,gas,hatchback,181,160,17199
nissan,gas,hatchback,181,200,19699
nissan,gas,hatchback,181,160,18399
peugot,gas,sedan,120,97,11900
peugot,diesel,sedan,152,95,13200
peugot,gas,wagon,120,97,12440
peugot,diesel,wagon,152,95,13860
peugot,gas,sedan,120,95,15580
peugot,diesel,sedan,152,95,16900
peugot,gas,wagon,120,95,16695
peugot,diesel,wagon,152,95,17075
peugot,gas,sedan,120,97,16630
peugot,diesel,sedan,152,95,17950
peugot,gas,sedan,134,142,18150
plymouth,gas,hatchback,90,68,5572
plymouth,gas,hatchback,98,102,7957
plymouth,gas,hatchback,90,68,6229
plymouth,gas,sedan,90,68,6692
plymouth,gas,sedan,98,68,7609
plymouth,gas,wagon,122,88,8921
plymouth,gas,hatchback,156,145,12764
porsche,gas,hatchback,151,143,22018
porsche,gas,hardtop,194,207,32528
porsche,gas,hardtop,194,207,34028
porsche,gas,convertible,194,207,37028
porsche,gas,hatchback,203,288,?
saab,gas,hatchback,121,110,11850
saab,gas,sedan,121,110,12170
saab,gas,hatchback,121,110,15040
saab,gas,sedan,121,110,15510
saab,gas,hatchback,121,160,18150
saab,gas,sedan,121,160,18620
subaru,gas,hatchback,97,69,5118
subaru,gas,hatchback,108,73,7053
subaru,gas,hatchback,108,73,7603
subaru,gas,sedan,108,82,7126
subaru,gas,sedan,108,82,7775
subaru,gas,sedan,108,94,9960
subaru,gas,sedan,108,82,9233
subaru,gas,sedan,108,111,11259
subaru,gas,wagon,108,82,7463
subaru,gas,wagon,108,94,10198
subaru,gas,wagon,108,82,8013
subaru,gas,wagon,108,111,11694
toyota,gas,hatchback,92,62,5348
toyota,gas,hatchback,92,62,6338
toyota,gas,hatchback,92,62,6488
toyota,gas,wagon,92,62,6918
toyota,gas,wagon,92,62,7898
toyota,gas,wagon,92,62,8778
toyota,gas,sedan,98,70,6938
toyota,gas,hatchback,98,70,7198
toyota,diesel,sedan,110,56,7898
toyota,diesel,hatchback,110,56,7788
toyota,gas,sedan,98,70,7738
toyota,gas,hatchback,98,70,8358
toyota,gas,sedan,98,70,9258
toyota,gas,sedan,98,70,8058
toyota,gas,hatchback,98,70,8238
toyota,gas,sedan,98,112,9298
